Location,Gender,Product,location_code,gender_code,product_code
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Shah Faisalabad, Punjab, Pakistan",Female,Casual Wear For Females,324,0,4
"Kuala Lumpur, Malaysia",Female,Casual Wear For Females,195,0,4
"London, United Kingdom",Female,Casual Wear For Females,211,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Mississauga, Ontario",Female,Casual Wear For Females,238,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
Multan,Male,Casual Wear For Females,248,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
Faisalabad,Female,Casual Wear For Females,99,0,4
"Ashford, Kent",Female,Casual Wear For Females,22,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
Baffa,Female,Casual Wear For Females,29,0,4
"Hamburg, Germany",Male,Casual Wear For Females,116,1,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Mirpur, Azad Kashmir",Female,Casual Wear For Females,237,0,4
"Sahiwal, Punjab, Pakistan",Male,Casual Wear For Females,318,1,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Rawalpindi West Ridge, Punjab, Pakistan",Female,Casual Wear For Females,311,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Islamabad, Pakistan",Male,Casual Wear For Females,141,1,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Riyadh, Saudi Arabia",Female,Casual Wear For Females,314,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Austin, Texas",Female,Casual Wear For Females,24,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Albuquerque, New Mexico",Female,Casual Wear For Females,13,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Dubai, United Arab Emirates",Male,Casual Wear For Females,93,1,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
Faisalabad,Female,Casual Wear For Females,99,0,4
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Faisalabad,Female,Accessories for Female ,99,0,0
Sanghar,Female,Accessories for Female ,321,0,0
"Quetta, Pakistan",Female,Accessories for Female ,302,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Sheikhupura,Female,Accessories for Female ,334,0,0
"Rawalpindi, Pakistan",Female,Accessories for Female ,312,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"New York, New York",Female,Accessories for Female ,267,0,0
Layyah,Female,Accessories for Female ,206,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Rawalpindi, Pakistan",Female,Accessories for Female ,312,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Abbottabad,Female,Accessories for Female ,0,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Islamabad, Pakistan",Female,Accessories for Female ,141,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Male,Accessories for Female ,200,1,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Peshawar, Pakistan",Female,Accessories for Female ,289,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Al Arin, Abha, Kingdom of Saudi Arabia",Female,Accessories for Female ,9,0,0
"London, United Kingdom",Female,Accessories for Female ,211,0,0
"Gujranwala, Pakistan",Female,Accessories for Female ,108,0,0
"Gujranwala, Pakistan",Male,Accessories for Female ,108,1,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Medina, Saudi Arabia",Male,Accessories for Female ,227,1,0
"Rawalpindi, Pakistan",Female,Accessories for Female ,312,0,0
"Lahore, Pakistan",Male,Accessories for Female ,200,1,0
Bannu,Female,Accessories for Female ,41,0,0
Sargodha,Male,Accessories for Female ,323,1,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Male,Accessories for Female ,200,1,0
"Lahore, Pakistan",Male,Accessories for Female ,200,1,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Male,Accessories for Female ,200,1,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Pind Dadan Khan,Female,Accessories for Female ,293,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Sialkot, Punjab",Female,Accessories for Female ,337,0,0
"Wah, Pakistan",Female,Accessories for Female ,377,0,0
"Dubai, United Arab Emirates",Male,Accessories for Female ,93,1,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Islamabad, Pakistan",Female,Accessories for Female ,141,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Islamabad, Pakistan",Female,Accessories for Female ,141,0,0
Multan,Male,Accessories for Female ,248,1,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Peshawar, Pakistan",Female,Accessories for Female ,289,0,0
Sharjah,Female,Accessories for Female ,333,0,0
"Haripur, Pakistan",Female,Accessories for Female ,119,0,0
Sargodha,Female,Accessories for Female ,323,0,0
"Rawalpindi, Pakistan",Female,Accessories for Female ,312,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Faisalabad,Female,Accessories for Female ,99,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Hala Nawa, Sindh, Pakistan",Female,Accessories for Female ,114,0,0
"Khanpur Janubi, Punjab, Pakistan",Female,Accessories for Female ,180,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Sialkot, Punjab",Female,Accessories for Female ,337,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Multan,Male,Accessories for Female ,248,1,0
"Shahkot, Pakistan",Male,Accessories for Female ,328,1,0
Faisalabad,Male,Accessories for Female ,99,1,0
Faisalabad,Female,Accessories for Female ,99,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Sialkot, Punjab",Female,Accessories for Female ,337,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Hyderabad, Sindh",Female,Accessories for Female ,135,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Faisalabad,Female,Accessories for Female ,99,0,0
Thatta,Female,Accessories for Female ,358,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Khairpur,Female,Accessories for Female ,176,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Khairpur Nathan Shah, Sindh, Pakistan",Female,Accessories for Female ,178,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
Faisalabad,Female,Accessories for Female ,99,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Pacca Chang, Sindh, Pakistan",Female,Accessories for Female ,278,0,0
"Istanbul, Turkey",Male,Accessories for Female ,142,1,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Islamabad, Pakistan",Female,Accessories for Female ,141,0,0
"Quetta, Pakistan",Female,Accessories for Female ,302,0,0
"Karachi, Pakistan",Female,Accessories for Female ,166,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Accessories for Female ,200,0,0
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Melbourne, Victoria, Australia",Female,Stitched Clothes for female ,229,0,13
"Rawalpindi, Pakistan",Female,Stitched Clothes for female ,312,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Dubai, United Arab Emirates",Female,Stitched Clothes for female ,93,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Rawalpindi, Pakistan",Female,Stitched Clothes for female ,312,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Adelaide, South Australia",Female,Stitched Clothes for female ,4,0,13
Multan,Female,Stitched Clothes for female ,248,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
Multan,Female,Stitched Clothes for female ,248,0,13
"Gujranwala, Pakistan",Female,Stitched Clothes for female ,108,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Rawalpindi, Pakistan",Female,Stitched Clothes for female ,312,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
"Dubai, United Arab Emirates",Male,Stitched Clothes for female ,93,1,13
"Islamabad, Pakistan",Male,Stitched Clothes for female ,141,1,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Gaborone, Botswana",Male,Stitched Clothes for female ,103,1,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
"Lahore, Pakistan",Male,Stitched Clothes for female ,200,1,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Lahore, Pakistan",Male,Stitched Clothes for female ,200,1,13
Gujrat,Male,Stitched Clothes for female ,109,1,13
"Rakh Hafizabad, Punjab, Pakistan",Male,Stitched Clothes for female ,305,1,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
Abbottabad,Female,Stitched Clothes for female ,0,0,13
Abbottabad,Female,Stitched Clothes for female ,0,0,13
Multan,Female,Stitched Clothes for female ,248,0,13
Mardan,Male,Stitched Clothes for female ,222,1,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
"Peshawar, Pakistan",Female,Stitched Clothes for female ,289,0,13
"Khas Dir, Pakistan",Male,Stitched Clothes for female ,185,1,13
"Dubai, United Arab Emirates",Female,Stitched Clothes for female ,93,0,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
"Hunza, Northern Areas, Pakistan",Female,Stitched Clothes for female ,132,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Hyderabad, Sindh",Female,Stitched Clothes for female ,135,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
"Hyderabad, Sindh",Female,Stitched Clothes for female ,135,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Xian, China",Female,Stitched Clothes for female ,383,0,13
"Lahore, Pakistan",Male,Stitched Clothes for female ,200,1,13
"Shah Faisalabad, Punjab, Pakistan",Female,Stitched Clothes for female ,324,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
"Nairobi, Kenya",Female,Stitched Clothes for female ,255,0,13
Nawabshah,Male,Stitched Clothes for female ,261,1,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
Bahawalpur,Male,Stitched Clothes for female ,32,1,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Hyderabad, Sindh",Male,Stitched Clothes for female ,135,1,13
Hyderabad,Female,Stitched Clothes for female ,133,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
Pakpattan,Female,Stitched Clothes for female ,282,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
Faisalabad,Male,Stitched Clothes for female ,99,1,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
Swabi,Female,Stitched Clothes for female ,342,0,13
Gujrat,Female,Stitched Clothes for female ,109,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
"Wah, Pakistan",Female,Stitched Clothes for female ,377,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Nowshera Lines, Sindh, Pakistan",Male,Stitched Clothes for female ,273,1,13
Hasilpur,Male,Stitched Clothes for female ,123,1,13
"Quetta, Pakistan",Male,Stitched Clothes for female ,302,1,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
Nawabshah,Female,Stitched Clothes for female ,261,0,13
"Toba Tek Singh, Pakistan",Female,Stitched Clothes for female ,360,0,13
"Shanghai, China",Female,Stitched Clothes for female ,331,0,13
Hasilpur,Male,Stitched Clothes for female ,123,1,13
"Okara, Pakistan",Female,Stitched Clothes for female ,275,0,13
Bahawalpur,Female,Stitched Clothes for female ,32,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
Muzaffarabad,Female,Stitched Clothes for female ,253,0,13
Bahawalpur,Female,Stitched Clothes for female ,32,0,13
"Islamabad, Pakistan",Male,Stitched Clothes for female ,141,1,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Sialkot, Punjab",Male,Stitched Clothes for female ,337,1,13
"Kohat, Pakistan",Female,Stitched Clothes for female ,190,0,13
"Brussels, Belgium",Male,Stitched Clothes for female ,54,1,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
Faisalabad,Male,Stitched Clothes for female ,99,1,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
Talagang,Female,Stitched Clothes for female ,348,0,13
"Gilgit, Pakistan",Female,Stitched Clothes for female ,106,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Gujranwala, Pakistan",Female,Stitched Clothes for female ,108,0,13
"Nairobi, Kenya",Female,Stitched Clothes for female ,255,0,13
"Rawalpindi, Pakistan",Female,Stitched Clothes for female ,312,0,13
"Sialkot, Punjab",Female,Stitched Clothes for female ,337,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Peshawar, Pakistan",Female,Stitched Clothes for female ,289,0,13
"Shikarpur, Pakistan",Female,Stitched Clothes for female ,336,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Peshawar, Pakistan",Female,Stitched Clothes for female ,289,0,13
"Lahore, Pakistan",Male,Stitched Clothes for female ,200,1,13
"Sukkur, Sindh",Female,Stitched Clothes for female ,341,0,13
"Hyderabad, Sindh",Female,Stitched Clothes for female ,135,0,13
"Quetta, Pakistan",Female,Stitched Clothes for female ,302,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Arifwala, Pakistan",Female,Stitched Clothes for female ,21,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
Sharjah,Female,Stitched Clothes for female ,333,0,13
"Rawalpindi, Pakistan",Male,Stitched Clothes for female ,312,1,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Peshawar, Pakistan",Male,Stitched Clothes for female ,289,1,13
"Dubai, United Arab Emirates",Female,Stitched Clothes for female ,93,0,13
Bahawalpur,Male,Stitched Clothes for female ,32,1,13
"Toba Tek Singh, Pakistan",Male,Stitched Clothes for female ,360,1,13
"Mecca, Saudi Arabia",Female,Stitched Clothes for female ,226,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
Malir,Female,Stitched Clothes for female ,215,0,13
Faisalabad,Female,Stitched Clothes for female ,99,0,13
Sargodha,Male,Stitched Clothes for female ,323,1,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Dubai, United Arab Emirates",Female,Stitched Clothes for female ,93,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Makli, Sindh, Pakistan",Female,Stitched Clothes for female ,213,0,13
Islamabad,Female,Stitched Clothes for female ,139,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Quetta, Pakistan",Female,Stitched Clothes for female ,302,0,13
Bannu,Male,Stitched Clothes for female ,41,1,13
"Hyderabad, Sindh",Female,Stitched Clothes for female ,135,0,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Sukkur, Sindh",Female,Stitched Clothes for female ,341,0,13
"Haripur, Pakistan",Female,Stitched Clothes for female ,119,0,13
"Karachi, Pakistan",Male,Stitched Clothes for female ,166,1,13
"Lahore, Pakistan",Female,Stitched Clothes for female ,200,0,13
"Dubai, United Arab Emirates",Female,Stitched Clothes for female ,93,0,13
"Islamabad, Pakistan",Female,Stitched Clothes for female ,141,0,13
"Utsunomiya, Tochigi",Male,Stitched Clothes for female ,370,1,13
"Sukkur, Sindh",Female,Stitched Clothes for female ,341,0,13
"Karachi, Pakistan",Female,Stitched Clothes for female ,166,0,13
"Melbourne, Victoria, Australia",Female,Stitched Clothes for female ,229,0,13
"Mang, Azad Kashmir, Pakistan",Female,Stitched Clothes for female ,219,0,13
"Siegen, Germany",Female,Stitched Clothes for Male ,338,0,12
"Gujranwala, Pakistan",Male,Stitched Clothes for Male ,108,1,12
Sargodha,Male,Stitched Clothes for Male ,323,1,12
Sargodha,Male,Stitched Clothes for Male ,323,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
Umerkot,Male,Stitched Clothes for Male ,368,1,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Karachi, Pakistan",Male,Stitched Clothes for Male ,166,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Mona Remount Depot, Punjab, Pakistan",Male,Stitched Clothes for Male ,240,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
Multan,Male,Stitched Clothes for Male ,248,1,12
Muzaffargarh,Male,Stitched Clothes for Male ,254,1,12
"Makli, Sindh, Pakistan",Female,Stitched Clothes for Male ,213,0,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
Kharian,Male,Stitched Clothes for Male ,184,1,12
"Islamabad, Pakistan",Female,Stitched Clothes for Male ,141,0,12
"Peshawar, Pakistan",Female,Stitched Clothes for Male ,289,0,12
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male ,312,0,12
Dera Ghazi Khan,Male,Stitched Clothes for Male ,87,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male ,312,0,12
"Quetta, Pakistan",Female,Stitched Clothes for Male ,302,0,12
Mandi Bahauddin,Female,Stitched Clothes for Male ,217,0,12
Faisalabad,Male,Stitched Clothes for Male ,99,1,12
"Karachi, Pakistan",Male,Stitched Clothes for Male ,166,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
Khushab,Male,Stitched Clothes for Male ,187,1,12
"Jhang Sadar, Punjab, Pakistan",Male,Stitched Clothes for Male ,151,1,12
Multan,Male,Stitched Clothes for Male ,248,1,12
Rahim Yar Khan,Male,Stitched Clothes for Male ,303,1,12
Multan,Female,Stitched Clothes for Male ,248,0,12
Latifabad,Female,Stitched Clothes for Male ,205,0,12
"Jhelum, Punjab",Male,Stitched Clothes for Male ,152,1,12
Multan,Female,Stitched Clothes for Male ,248,0,12
"Allu Multan, Punjab, Pakistan",Male,Stitched Clothes for Male ,15,1,12
Bahawalnagar,Female,Stitched Clothes for Male ,31,0,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Gujranwala, Pakistan",Male,Stitched Clothes for Male ,108,1,12
"Rawalpindi, Pakistan",Male,Stitched Clothes for Male ,312,1,12
"Dhaka, Bangladesh",Male,Stitched Clothes for Male ,90,1,12
"Melbourne, Victoria, Australia",Female,Stitched Clothes for Male ,229,0,12
Hayatabad,Male,Stitched Clothes for Male ,125,1,12
"Dhaka, Bangladesh",Male,Stitched Clothes for Male ,90,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
Sargodha,Female,Stitched Clothes for Male ,323,0,12
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male ,312,0,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
Sargodha,Female,Stitched Clothes for Male ,323,0,12
Chitral,Male,Stitched Clothes for Male ,72,1,12
"Northampton, Northamptonshire",Female,Stitched Clothes for Male ,270,0,12
"Manikganj, Dhaka, Bangladesh",Male,Stitched Clothes for Male ,220,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Gujranwala, Pakistan",Male,Stitched Clothes for Male ,108,1,12
Khanewal,Male,Stitched Clothes for Male ,179,1,12
"Sahiwal, Punjab, Pakistan",Male,Stitched Clothes for Male ,318,1,12
Khanewal,Male,Stitched Clothes for Male ,179,1,12
Faisalabad,Male,Stitched Clothes for Male ,99,1,12
"Bangial, Punjab, Pakistan",Male,Stitched Clothes for Male ,40,1,12
"Gujranwala, Pakistan",Male,Stitched Clothes for Male ,108,1,12
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male ,312,0,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Islamabad, Pakistan",Male,Stitched Clothes for Male ,141,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Hyderabad, Sindh",Male,Stitched Clothes for Male ,135,1,12
"Peshawar, Pakistan",Male,Stitched Clothes for Male ,289,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
Islamabad,Male,Stitched Clothes for Male ,139,1,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Darawala, Punjab, Pakistan",Male,Stitched Clothes for Male ,81,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Karachi, Pakistan",Male,Stitched Clothes for Male ,166,1,12
"Karachi, Pakistan",Male,Stitched Clothes for Male ,166,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Karachi, Pakistan",Male,Stitched Clothes for Male ,166,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Karachi, Pakistan",Male,Stitched Clothes for Male ,166,1,12
"Dubai, United Arab Emirates",Female,Stitched Clothes for Male ,93,0,12
Hafizabad,Female,Stitched Clothes for Male ,112,0,12
Taxila,Male,Stitched Clothes for Male ,356,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
"Islamabad, Pakistan",Female,Stitched Clothes for Male ,141,0,12
Faisalabad,Female,Stitched Clothes for Male ,99,0,12
"Dubai, United Arab Emirates",Male,Stitched Clothes for Male ,93,1,12
"Lahore, Pakistan",Female,Stitched Clothes for Male ,200,0,12
"Lahore, Pakistan",Male,Stitched Clothes for Male ,200,1,12
"Takht-I-Bhai, Khyber Pakhtunkhwa, Pakistan",Male,Stitched Clothes for Male ,347,1,12
"Karachi, Pakistan",Female,Stitched Clothes for Male ,166,0,12
