Location,Gender,Product
"Karachi, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Islamabad, Pakistan",Female,Accessories for Female 
Multan,Male,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Peshawar, Pakistan",Female,Accessories for Female 
Sharjah,Female,Accessories for Female 
"Haripur, Pakistan",Female,Accessories for Female 
Sargodha,Female,Accessories for Female 
"Rawalpindi, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Faisalabad,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Hala Nawa, Sindh, Pakistan",Female,Accessories for Female 
"Khanpur Janubi, Punjab, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Sialkot, Punjab",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Multan,Male,Accessories for Female 
"Shahkot, Pakistan",Male,Accessories for Female 
Faisalabad,Male,Accessories for Female 
Faisalabad,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Sialkot, Punjab",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Hyderabad, Sindh",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Faisalabad,Female,Accessories for Female 
Thatta,Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Khairpur,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Khairpur Nathan Shah, Sindh, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Faisalabad,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Pacca Chang, Sindh, Pakistan",Female,Accessories for Female 
"Istanbul, Turkey",Male,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Islamabad, Pakistan",Female,Accessories for Female 
"Quetta, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Melbourne, Victoria, Australia",Female,Stitched Clothes for female 
"Rawalpindi, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Dubai, United Arab Emirates",Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Rawalpindi, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Adelaide, South Australia",Female,Stitched Clothes for female 
Multan,Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
Multan,Female,Stitched Clothes for female 
"Gujranwala, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Rawalpindi, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
"Dubai, United Arab Emirates",Male,Stitched Clothes for female 
"Islamabad, Pakistan",Male,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Gaborone, Botswana",Male,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
"Lahore, Pakistan",Male,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Male,Stitched Clothes for female 
Gujrat,Male,Stitched Clothes for female 
"Rakh Hafizabad, Punjab, Pakistan",Male,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
Abbottabad,Female,Stitched Clothes for female 
Abbottabad,Female,Stitched Clothes for female 
Multan,Female,Stitched Clothes for female 
Mardan,Male,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
"Peshawar, Pakistan",Female,Stitched Clothes for female 
"Khas Dir, Pakistan",Male,Stitched Clothes for female 
"Dubai, United Arab Emirates",Female,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
"Hunza, Northern Areas, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Hyderabad, Sindh",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
"Hyderabad, Sindh",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Xian, China",Female,Stitched Clothes for female 
"Lahore, Pakistan",Male,Stitched Clothes for female 
"Shah Faisalabad, Punjab, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
"Nairobi, Kenya",Female,Stitched Clothes for female 
Nawabshah,Male,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
Bahawalpur,Male,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Hyderabad, Sindh",Male,Stitched Clothes for female 
Hyderabad,Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
Pakpattan,Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
Faisalabad,Male,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
Swabi,Female,Stitched Clothes for female 
Gujrat,Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
"Wah, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Nowshera Lines, Sindh, Pakistan",Male,Stitched Clothes for female 
Hasilpur,Male,Stitched Clothes for female 
"Quetta, Pakistan",Male,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
Nawabshah,Female,Stitched Clothes for female 
"Toba Tek Singh, Pakistan",Female,Stitched Clothes for female 
"Shanghai, China",Female,Stitched Clothes for female 
Hasilpur,Male,Stitched Clothes for female 
"Okara, Pakistan",Female,Stitched Clothes for female 
Bahawalpur,Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
Muzaffarabad,Female,Stitched Clothes for female 
Bahawalpur,Female,Stitched Clothes for female 
"Islamabad, Pakistan",Male,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Sialkot, Punjab",Male,Stitched Clothes for female 
"Kohat, Pakistan",Female,Stitched Clothes for female 
"Brussels, Belgium",Male,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
Faisalabad,Male,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
Talagang,Female,Stitched Clothes for female 
"Gilgit, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Gujranwala, Pakistan",Female,Stitched Clothes for female 
"Nairobi, Kenya",Female,Stitched Clothes for female 
"Rawalpindi, Pakistan",Female,Stitched Clothes for female 
"Sialkot, Punjab",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Peshawar, Pakistan",Female,Stitched Clothes for female 
"Shikarpur, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Peshawar, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Male,Stitched Clothes for female 
"Sukkur, Sindh",Female,Stitched Clothes for female 
"Hyderabad, Sindh",Female,Stitched Clothes for female 
"Quetta, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Arifwala, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
Sharjah,Female,Stitched Clothes for female 
"Rawalpindi, Pakistan",Male,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Peshawar, Pakistan",Male,Stitched Clothes for female 
"Dubai, United Arab Emirates",Female,Stitched Clothes for female 
Bahawalpur,Male,Stitched Clothes for female 
"Toba Tek Singh, Pakistan",Male,Stitched Clothes for female 
"Mecca, Saudi Arabia",Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
Malir,Female,Stitched Clothes for female 
Faisalabad,Female,Stitched Clothes for female 
Sargodha,Male,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Dubai, United Arab Emirates",Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Makli, Sindh, Pakistan",Female,Stitched Clothes for female 
Islamabad,Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Quetta, Pakistan",Female,Stitched Clothes for female 
Bannu,Male,Stitched Clothes for female 
"Hyderabad, Sindh",Female,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Sukkur, Sindh",Female,Stitched Clothes for female 
"Haripur, Pakistan",Female,Stitched Clothes for female 
"Karachi, Pakistan",Male,Stitched Clothes for female 
"Lahore, Pakistan",Female,Stitched Clothes for female 
"Dubai, United Arab Emirates",Female,Stitched Clothes for female 
"Islamabad, Pakistan",Female,Stitched Clothes for female 
"Utsunomiya, Tochigi",Male,Stitched Clothes for female 
"Sukkur, Sindh",Female,Stitched Clothes for female 
"Karachi, Pakistan",Female,Stitched Clothes for female 
"Melbourne, Victoria, Australia",Female,Stitched Clothes for female 
"Mang, Azad Kashmir, Pakistan",Female,Stitched Clothes for female 
"Siegen, Germany",Female,Stitched Clothes for Male 
"Gujranwala, Pakistan",Male,Stitched Clothes for Male 
Sargodha,Male,Stitched Clothes for Male 
Sargodha,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
Umerkot,Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Mona Remount Depot, Punjab, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
Multan,Male,Stitched Clothes for Male 
Muzaffargarh,Male,Stitched Clothes for Male 
"Makli, Sindh, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
Kharian,Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Female,Stitched Clothes for Male 
"Peshawar, Pakistan",Female,Stitched Clothes for Male 
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male 
Dera Ghazi Khan,Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male 
"Quetta, Pakistan",Female,Stitched Clothes for Male 
Mandi Bahauddin,Female,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
Khushab,Male,Stitched Clothes for Male 
"Jhang Sadar, Punjab, Pakistan",Male,Stitched Clothes for Male 
Multan,Male,Stitched Clothes for Male 
Rahim Yar Khan,Male,Stitched Clothes for Male 
Multan,Female,Stitched Clothes for Male 
Latifabad,Female,Stitched Clothes for Male 
"Jhelum, Punjab",Male,Stitched Clothes for Male 
Multan,Female,Stitched Clothes for Male 
"Allu Multan, Punjab, Pakistan",Male,Stitched Clothes for Male 
Bahawalnagar,Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Gujranwala, Pakistan",Male,Stitched Clothes for Male 
"Rawalpindi, Pakistan",Male,Stitched Clothes for Male 
"Dhaka, Bangladesh",Male,Stitched Clothes for Male 
"Melbourne, Victoria, Australia",Female,Stitched Clothes for Male 
Hayatabad,Male,Stitched Clothes for Male 
"Dhaka, Bangladesh",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
Sargodha,Female,Stitched Clothes for Male 
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
Sargodha,Female,Stitched Clothes for Male 
Chitral,Male,Stitched Clothes for Male 
"Northampton, Northamptonshire",Female,Stitched Clothes for Male 
"Manikganj, Dhaka, Bangladesh",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Gujranwala, Pakistan",Male,Stitched Clothes for Male 
Khanewal,Male,Stitched Clothes for Male 
"Sahiwal, Punjab, Pakistan",Male,Stitched Clothes for Male 
Khanewal,Male,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
"Bangial, Punjab, Pakistan",Male,Stitched Clothes for Male 
"Gujranwala, Pakistan",Male,Stitched Clothes for Male 
"Rawalpindi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Hyderabad, Sindh",Male,Stitched Clothes for Male 
"Peshawar, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
Islamabad,Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Darawala, Punjab, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Female,Stitched Clothes for Male 
Hafizabad,Female,Stitched Clothes for Male 
Taxila,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Islamabad, Pakistan",Female,Stitched Clothes for Male 
Faisalabad,Female,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Takht-I-Bhai, Khyber Pakhtunkhwa, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Hyderabad, Sindh",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Wah, Pakistan",Female,Stitched Clothes for Male 
"Hyderabad, Sindh",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
Taguig,Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Toronto, Ontario",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
Multan,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Zürich, Switzerland",Male,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
Faisalabad,Female,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Hyderabad, Sindh",Male,Stitched Clothes for Male 
"Okara, Pakistan",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Female,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Male,Stitched Clothes for Male 
Kharian,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Peshawar, Pakistan",Male,Stitched Clothes for Male 
"Birmingham, United Kingdom",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
Faisalabad,Female,Stitched Clothes for Male 
Faisalabad,Female,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Rawalpindi, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Beijing, China",Male,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Male,Stitched Clothes for Male 
"Nowshera Cantonment, Khyber Pakhtunkhwa, Pakistan",Male,Stitched Clothes for Male 
"Sialkot, Punjab",Male,Stitched Clothes for Male 
"Dublin, Ireland",Female,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
Doha,Male,Stitched Clothes for Male 
"Vienna, Austria",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Muscat, Oman",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Al Gharrafah, Ad Dawḩah, Qatar",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Iquique, Chile",Female,Stitched Clothes for Male 
"Hyderabad, Sindh",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
"Dubai, United Arab Emirates",Female,Stitched Clothes for Male 
Dargai,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Dawhat Al Qatar, Ad Dawḩah, Qatar",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
Multan,Male,Stitched Clothes for Male 
Mianwali,Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Hyderabad, Sindh",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Toowoomba, Queensland",Male,Stitched Clothes for Male 
"Shah Faisalabad, Punjab, Pakistan",Male,Stitched Clothes for Male 
"Kario, Sindh, Pakistan",Male,Stitched Clothes for Male 
"Wah, Pakistan",Male,Stitched Clothes for Male 
"Islamabad, Pakistan",Male,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
"Baku, Azerbaijan",Female,Stitched Clothes for Male 
Sargodha,Male,Stitched Clothes for Male 
Multan,Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Sialkot, Punjab",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Jubail, Saudi Arabia",Male,Stitched Clothes for Male 
Faisalabad,Male,Stitched Clothes for Male 
"Lahore, Pakistan",Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
Islamabad,Male,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Islamabad, Pakistan",Female,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Male,Stitched Clothes for Male 
"Lahore, Pakistan",Female,Stitched Clothes for Male 
"Karachi, Pakistan",Female,Stitched Clothes for Male 
"Gilgit, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
Gojra,Male,Electronic Devices
Multan,Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
"Kamoki, Punjab, Pakistan",Male,Electronic Devices
"Dubai, United Arab Emirates",Male,Electronic Devices
"Peshawar, Pakistan",Male,Electronic Devices
"Kalu Khan, Khyber Pakhtunkhwa, Pakistan",Male,Electronic Devices
Dera Ismail Khan,Male,Electronic Devices
"Sukkur, Sindh",Male,Electronic Devices
"Gujranwala, Pakistan",Male,Electronic Devices
"Peshawar, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Rawalpindi, Pakistan",Female,Electronic Devices
"Islamabad, Pakistan",Female,Electronic Devices
"Hyderabad, Sindh",Female,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Mirpur Khas,Male,Electronic Devices
"Peshawar, Pakistan",Male,Electronic Devices
Muzaffarabad,Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Islamabad, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Al Sadd Doha,Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
"Kohat, Pakistan",Male,Electronic Devices
"Peshawar, Pakistan",Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Multan,Male,Electronic Devices
"Dubai, United Arab Emirates",Male,Electronic Devices
Lalamusa,Male,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Hyderabad, Sindh",Male,Electronic Devices
"Miami, Florida",Male,Electronic Devices
Jaranwala,Male,Electronic Devices
"Pad Idan, Sindh, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Khuhra, Sindh, Pakistan",Male,Electronic Devices
Sharjah,Male,Electronic Devices
Faisalabad,Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Islamabad, Pakistan",Female,Electronic Devices
Sanghar,Male,Electronic Devices
"Hyderabad, Sindh",Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Dewal,Male,Electronic Devices
"Sahiwal, Punjab, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
Dera Ghazi Khan,Male,Electronic Devices
Rahim Yar Khan,Male,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
Muzaffargarh,Male,Electronic Devices
Sargodha,Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Hyderabad, Sindh",Female,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Female,Electronic Devices
"Lahore, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Chiniot,Male,Electronic Devices
"Jatoi, Punjab, Pakistan",Male,Electronic Devices
"Rawalpindi, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Multan,Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Karachi, Pakistan",Female,Electronic Devices
Rajanpur,Female,Electronic Devices
"Bhairab Town, Dhaka, Bangladesh",Female,Electronic Devices
"Peshawar, Pakistan",Female,Electronic Devices
"Peshawar, Pakistan",Female,Electronic Devices
"Islamabad, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Rawalpindi, Pakistan",Male,Electronic Devices
"Gulshan, Punjab, Pakistan",Female,Electronic Devices
Bahawalpur,Male,Electronic Devices
"Jhelum, Punjab",Male,Electronic Devices
"Shikarpur, Pakistan",Female,Electronic Devices
"Karachi, Pakistan",Male,Electronic Devices
Multan,Female,Electronic Devices
"Islamabad, Pakistan",Male,Electronic Devices
"Lahore, Pakistan",Male,Electronic Devices
"Peshawar, Pakistan",Female,Beauty Products
