Location,Gender,Product
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes
"Hyderabad, Sindh",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Sahiwal, Punjab, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
Larkana,Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Gujranwala, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Quetta, Pakistan",Female,UnStitched Female Clothes
Burewala,Female,UnStitched Female Clothes
"Muscat, Oman",Female,UnStitched Female Clothes
Rahim Yar Khan,Female,UnStitched Female Clothes
Mardan,Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Sukkur, Sindh",Male,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Mullica Hill, New Jersey",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Jeddah, Saudi Arabia",Male,UnStitched Female Clothes
"Bangalore, India",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Hyderabad Lines, Sindh, Pakistan",Female,UnStitched Female Clothes
"Peshawar, Pakistan",Female,UnStitched Female Clothes
"Sukkur Lines, Sindh, Pakistan",Male,UnStitched Female Clothes
Rahim Yar Khan,Female,UnStitched Female Clothes
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes
"Dubai, United Arab Emirates",Female,UnStitched Female Clothes
"Peshawar, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Sukkur, Sindh",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"New York, New York",Female,UnStitched Female Clothes
Sargodha,Male,UnStitched Female Clothes
Sargodha,Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
Multan,Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
Gujrat,Male,UnStitched Female Clothes
"Sialkot, Punjab",Female,UnStitched Female Clothes
Multan,Female,UnStitched Female Clothes
"Hyderabad, Sindh",Female,UnStitched Female Clothes
"Pointe-Noire, Congo",Female,UnStitched Female Clothes
Bahawalpur,Female,UnStitched Female Clothes
"Barcelona, Spain",Male,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Tharu Shah, Sindh, Pakistan",Female,UnStitched Female Clothes
Taxila,Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
"Jhelum, Punjab",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
Larkana,Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
Nawabshah,Female,UnStitched Female Clothes
"Medina, Saudi Arabia",Male,UnStitched Female Clothes
Multan,Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
Nowshera,Male,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
Narowal,Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
Mandi Bahauddin,Female,UnStitched Female Clothes
Kharian,Female,UnStitched Female Clothes
Rahim Yar Khan,Male,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Male,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Hazara, Khyber Pakhtunkhwa, Pakistan",Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
"Sialkot, Punjab",Male,UnStitched Female Clothes
"Nazimabad, Sindh, Pakistan",Female,UnStitched Female Clothes
Gujrat,Female,UnStitched Female Clothes
Talagang,Male,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Peshawar, Pakistan",Female,UnStitched Female Clothes
"Sahiwal, Punjab, Pakistan",Female,UnStitched Female Clothes
Mardan,Female,UnStitched Female Clothes
"Usa, Arusha, Tanzania",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Gujranwala, Pakistan",Male,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Chakwal, Pakistan",Female,Shoes for Female 
Bannu,Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
Kharian,Male,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Rawalpindi, Pakistan",Female,Shoes for Female 
Dera Ismail Khan,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
Liaquatpur,Female,Shoes for Female 
"Lahore, Pakistan",Male,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Jhelum, Punjab",Female,Shoes for Female 
"Islamabad, Pakistan",Male,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
Kasur,Female,Shoes for Female 
"Shah Faisalabad, Punjab, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Cologne, Germany",Male,Shoes for Female 
"Shahdadpur, Sindh, Pakistan",Female,Shoes for Female 
Sargodha,Female,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Male,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
Chiniot,Female,Shoes for Female 
Kasur,Female,Shoes for Female 
"Makli, Sindh, Pakistan",Female,Shoes for Female 
Mian Channun,Female,Shoes for Female 
Dera Ghazi Khan,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Male,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Jhang Sadar, Punjab, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Jeddah, Saudi Arabia",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
Chichawatni,Female,Shoes for Female 
"Mandi Burewala, Punjab, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
